title,price_gbp,rating,in_stock,category
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,True,Sequential Art
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,True,Sequential Art
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,True,Sequential Art
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,True,Sequential Art
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3,True,Sequential Art
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1,True,Sequential Art
Original Fake,31.45,3,True,Sequential Art
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1,True,Sequential Art
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2,True,Sequential Art
"Black Butler, Vol. 1 (Black Butler #1)",49.31,1,True,Sequential Art
Awkward,38.02,2,True,Sequential Art
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1,True,Sequential Art
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3,True,Sequential Art
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,True,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,True,Sequential Art
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2,True,Sequential Art
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3,True,Sequential Art
The Complete Maus (Maus #1-2),10.64,3,True,Sequential Art
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3,True,Sequential Art
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1,True,Sequential Art
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5,True,Sequential Art
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4,True,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3,True,Sequential Art
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4,True,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3,True,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4,True,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5,True,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5,True,Sequential Art
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4,True,Sequential Art
Chase Me (Paris Nights #2),25.27,5,True,Romance
Black Dust,34.53,5,True,Romance
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,True,Romance
First and First (Five Boroughs #3),15.97,4,True,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,1,True,Romance
The Wedding Dress,24.12,1,True,Romance
Suddenly in Love (Lake Haven #1),55.99,2,True,Romance
Something More Than This,16.24,4,True,Romance
Doing It Over (Most Likely To #1),35.61,3,True,Romance
The Wedding Pact (The O'Malleys #2),32.61,3,True,Romance
Hold Your Breath (Search and Rescue #1),28.82,1,True,Romance
Dirty (Dive Bar #1),40.83,4,True,Romance
Take Me Home Tonight (Rock Star Romance #3),53.98,3,True,Romance
Off the Hook (Fishing for Trouble #1),47.67,3,True,Romance
A Gentleman's Position (Society of Gentlemen #3),14.75,5,True,Romance
"Sit, Stay, Love",20.9,3,True,Romance
A Girl's Guide to Moving On (New Beginnings #2),31.3,1,True,Romance
The Perfect Play (Play by Play #1),59.99,3,True,Romance
Dark Lover (Black Dagger Brotherhood #1),12.87,1,True,Romance
Changing the Game (Play by Play #2),13.38,3,True,Romance
A Walk to Remember,56.43,1,True,Romance
The Purest Hook (Second Circle Tattoos #3),12.25,1,True,Romance
The Obsession,45.43,1,True,Romance
Reservations for Two,11.1,3,True,Romance
Best of My Love (Fool's Gold #20),27.41,2,True,Romance
Where Lightning Strikes (Bleeding Stars #3),39.77,3,True,Romance
This One Moment (Pushing Limits #1),48.71,1,True,Romance
"Rhythm, Chord & Malykhin",28.34,2,True,Romance
My Perfect Mistake (Over the Top #1),38.92,2,True,Romance
Listen to Me (Fusion #1),58.99,3,True,Romance
Imperfect Harmony,34.74,4,True,Romance
Fighting Fate (Fighting #6),39.24,3,True,Romance
Deep Under (Walker Security #1),47.09,5,True,Romance
Charity's Cross (Charles Towne Belles #4),41.24,1,True,Romance
Bounty (Colorado Mountain #7),37.26,4,True,Romance
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,True,Nonfiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,True,Nonfiction
Reasons to Stay Alive,26.41,2,True,Nonfiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,True,Nonfiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,True,Nonfiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,True,Nonfiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,True,Nonfiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,True,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,True,Nonfiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,True,Nonfiction
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,True,Nonfiction
In the Country We Love: My Family Divided,22.0,4,True,Nonfiction
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,True,Nonfiction
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,True,Nonfiction
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,True,Nonfiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,True,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,True,Nonfiction
The Genius of Birds,17.24,1,True,Nonfiction
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,True,Nonfiction
So You've Been Publicly Shamed,12.23,2,True,Nonfiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,True,Nonfiction
Big Magic: Creative Living Beyond Fear,30.8,3,True,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,True,Nonfiction
Agnostic: A Spirited Manifesto,12.51,5,True,Nonfiction
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,True,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,True,Nonfiction
The Year of Magical Thinking,43.04,2,True,Nonfiction
The Literature Book (Big Ideas Simply Explained),17.43,3,True,Nonfiction
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1,True,Nonfiction
Swell: A Year of Waves,45.58,1,True,Nonfiction
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,True,Nonfiction
Looking for Lovely: Collecting the Moments that Matter,29.14,5,True,Nonfiction
Let It Out: A Journey Through Journaling,26.79,5,True,Nonfiction
Hamilton: The Revolution,58.79,3,True,Nonfiction
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,True,Nonfiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,True,Nonfiction
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,True,Nonfiction
Brain on Fire: My Month of Madness,49.32,5,True,Nonfiction
Abstract City,56.37,5,True,Nonfiction
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,True,Nonfiction
The Lonely City: Adventures in the Art of Being Alone,33.26,2,True,Nonfiction
The Diary of a Young Girl,59.9,3,True,Nonfiction
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,True,Nonfiction
Furiously Happy: A Funny Book About Horrible Things,41.46,4,True,Nonfiction
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,True,Nonfiction
"Mother, Can You Not?",16.89,5,True,Nonfiction
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3,True,Nonfiction
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2,True,Nonfiction
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2,True,Nonfiction
"Zero to One: Notes on Startups, or How to Build the Future",34.06,3,True,Nonfiction
Why Not Me?,17.76,1,True,Nonfiction
When Breath Becomes Air,39.36,2,True,Nonfiction
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,True,Nonfiction
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5,True,Nonfiction
Rising Strong,21.82,3,True,Nonfiction
Man's Search for Meaning,29.48,3,True,Nonfiction
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2,True,Nonfiction
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3,True,Nonfiction
I Will Find You,44.21,1,True,Nonfiction
Brazen: The Courage to Find the You That's Been Hiding,19.22,2,True,Nonfiction
Between the World and Me,56.91,4,True,Nonfiction
Being Mortal: Medicine and What Matters in the End,55.06,4,True,Nonfiction
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3,True,Nonfiction
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,3,True,Nonfiction
Finding God in the Ruins: How God Redeems Pain,46.64,2,True,Nonfiction
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,4,True,Nonfiction
In Cold Blood,49.98,4,True,Nonfiction
"Girl, Interrupted",42.14,3,True,Nonfiction
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,2,True,Nonfiction
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4,True,Nonfiction
My Mother Was Nuts,31.63,4,True,Nonfiction
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,3,True,Nonfiction
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,3,True,Nonfiction
The Gunning of America: Business and the Making of American Gun Culture,16.81,4,True,Nonfiction
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,2,True,Nonfiction
God Is Not Great: How Religion Poisons Everything,27.8,1,True,Nonfiction
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,3,True,Nonfiction
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,3,True,Nonfiction
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,1,True,Nonfiction
Under the Banner of Heaven: A Story of Violent Faith,30.0,1,True,Nonfiction
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,1,True,Nonfiction
The Name of God is Mercy,37.25,2,True,Nonfiction
Stiff: The Curious Lives of Human Cadavers,36.74,3,True,Nonfiction
Spilled Milk: Based on a True Story,49.51,1,True,Nonfiction
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,4,True,Nonfiction
Outliers: The Story of Success,14.16,1,True,Nonfiction
Notes from a Small Island (Notes From a Small Island #1),40.17,1,True,Nonfiction
Night (The Night Trilogy #1),13.51,1,True,Nonfiction
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,1,True,Nonfiction
Letter to a Christian Nation,22.2,1,True,Nonfiction
Let's Pretend This Never Happened: A Mostly True Memoir,45.11,1,True,Nonfiction
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,1,True,Nonfiction
Into the Wild,56.7,5,True,Nonfiction
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,3,True,Nonfiction
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,2,True,Nonfiction
Gratitude,26.66,5,True,Nonfiction
Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,True,Nonfiction
Brave Enough,51.32,5,True,Nonfiction
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,2,True,Nonfiction
Blink: The Power of Thinking Without Thinking,21.74,5,True,Nonfiction
Black Flags: The Rise of ISIS,40.87,1,True,Nonfiction
Are We Smart Enough to Know How Smart Animals Are?,56.58,1,True,Nonfiction
A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,4,True,Nonfiction
"The Suffragettes (Little Black Classics, #96)",11.89,2,True,Nonfiction
Kindle Paperwhite User's Guide,34.0,3,True,Nonfiction
H is for Hawk,57.42,5,True,Nonfiction
Travels with Charley: In Search of America,57.82,5,True,Nonfiction
The Tumor,41.56,5,True,Nonfiction
The End of the Jesus Era (An Investigation #1),14.4,1,True,Nonfiction
"Eat, Pray, Love",51.32,3,True,Nonfiction
