survived,pclass,sex,age,sibsp,parch,fare,embarked,who,alone,family_size,age_zscore,fare_zscore
0,3,male,38.0,0,0,7.8958,S,man,True,1,0.6732824414057733,-0.486963705927063
1,3,female,21.5,1,0,24.15,Q,woman,False,2,-0.570108578137712,-0.1599010048220611
0,1,male,47.0,0,0,52.0,S,man,True,1,1.351495724793129,0.40048930819084055
0,3,female,14.5,1,0,14.4542,C,child,False,2,-1.0976077985500998,-0.3549973206895832
0,3,male,22.0,0,0,8.05,S,man,True,1,-0.5324300623939701,-0.48386093442736505
0,3,female,20.0,1,0,9.825,S,woman,False,2,-0.683144125368938,-0.44814485523174924
0,3,female,17.0,0,0,14.4583,C,woman,True,1,-0.9092152198313899,-0.354914821577075
0,3,male,21.0,0,0,7.925,S,man,True,1,-0.607787093881454,-0.4863761512721267
0,3,male,70.5,0,0,7.75,Q,man,True,1,3.122385964749002,-0.4898974548547931
0,2,male,29.0,1,0,21.0,S,man,False,2,-0.004930841981582358,-0.22328446931005533
0,1,male,24.0,0,1,247.5208,C,man,False,2,-0.38171599941900214,4.334706985481072
0,3,female,2.0,4,2,31.275,S,child,False,7,-2.0395706921436494,-0.016533644670645515
0,2,male,21.0,2,0,73.5,S,man,False,3,-0.607787093881454,0.8331066054898489
0,3,male,25.0,0,0,8.05,S,man,True,1,-0.3063589679315182,-0.48386093442736505
0,2,male,32.5,1,0,30.0708,C,man,False,2,0.2588187682246115,-0.04076423766634161
1,2,female,32.5,0,0,13.0,S,woman,True,1,0.2588187682246115,-0.38425834737480263
0,1,male,54.0,0,1,77.2875,S,man,False,2,1.8789949452055166,0.9093176758861277
1,3,male,12.0,1,0,11.2417,C,child,False,2,-1.2860003772688096,-0.41963839359995825
0,3,male,25.0,0,0,7.75,Q,man,True,1,-0.3063589679315182,-0.4898974548547931
1,3,male,24.0,0,0,7.1417,S,man,True,1,-0.38171599941900214,-0.5021375061081413
1,3,female,21.5,1,1,22.3583,C,woman,False,3,-0.570108578137712,-0.19595311698813705
0,3,male,45.0,0,0,6.975,S,man,True,1,1.200781661818161,-0.5054917992923155
0,3,male,33.0,0,0,7.8958,C,man,True,1,0.29649728396835345,-0.486963705927063
0,3,male,20.0,0,0,7.05,S,man,True,1,-0.683144125368938,-0.5039826691854584
0,3,female,47.0,1,0,14.5,S,woman,False,2,1.351495724793129,-0.3540757452376625
1,2,female,29.0,1,0,26.0,S,woman,False,2,-0.004930841981582358,-0.12267579551958825
0,2,male,25.0,0,0,13.0,S,man,True,1,-0.3063589679315182,-0.38425834737480263
0,2,male,23.0,0,0,15.0458,C,man,True,1,-0.4570730309064861,-0.3430933024066951
1,1,female,19.0,0,2,26.2833,S,woman,False,3,-0.7585011568564219,-0.11697530806262038
0,1,male,37.0,1,0,53.1,S,man,False,2,0.5979254099182894,0.4226232164247433
0,3,male,16.0,0,0,9.2167,S,man,True,1,-0.9845722513188738,-0.46038490648509744
0,1,male,24.0,0,0,79.2,C,man,True,1,-0.38171599941900214,0.9478004936109815
0,3,female,21.5,0,2,15.2458,C,woman,False,3,-0.570108578137712,-0.3390689554550765
1,3,female,22.0,0,0,7.75,S,woman,True,1,-0.5324300623939701,-0.4898974548547931
1,3,female,24.0,1,0,15.85,S,woman,False,2,-0.38171599941900214,-0.3269114033142364
0,3,male,19.0,0,0,6.75,Q,man,True,1,-0.7585011568564219,-0.5100191896128865
0,2,male,18.0,0,0,11.5,S,man,True,1,-0.8338581883439059,-0.41444094951194277
0,2,male,19.0,1,1,36.75,S,man,False,3,-0.7585011568564219,0.09363285312991595
1,3,male,27.0,0,0,7.7958,S,man,True,1,-0.15564490495655028,-0.4889758794028724
0,3,female,9.0,2,2,34.375,S,child,False,5,-1.5120714717312616,0.045843733079444095
0,2,male,36.5,0,2,26.0,S,man,False,3,0.5602468941745473,-0.12267579551958825
0,2,male,42.0,0,0,13.0,S,man,True,1,0.974710567355709,-0.38425834737480263
0,2,male,51.0,0,0,12.525,S,man,True,1,1.6529238507430648,-0.39381617138489705
1,1,female,22.0,1,0,66.6,S,woman,False,2,-0.5324300623939701,0.6942666356590043
0,3,male,55.5,0,0,8.05,S,man,True,1,1.9920304924367425,-0.48386093442736505
0,3,male,40.5,0,2,14.5,S,man,False,3,0.8616750201244832,-0.3540757452376625
0,3,male,25.0,0,0,7.3125,S,man,True,1,-0.3063589679315182,-0.4987007138114589
0,1,male,51.0,0,1,61.3792,C,man,False,2,1.6529238507430648,0.5892150828339502
1,3,female,16.0,0,0,7.7333,Q,woman,True,1,-0.9845722513188738,-0.4902334878252532
0,3,male,30.0,0,0,8.05,S,man,True,1,0.0704261895059016,-0.48386093442736505
0,3,male,25.0,0,0,8.6625,S,man,True,1,-0.3063589679315182,-0.4715363718880328
0,3,male,25.0,8,2,69.55,S,man,False,11,-0.3063589679315182,0.7536257531953799
0,3,male,44.0,0,1,16.1,S,man,False,2,1.125424630330677,-0.321880969624713
1,2,female,40.0,0,0,15.75,S,woman,True,1,0.8239965043807411,-0.32892357679004575
0,3,male,26.0,0,0,7.775,S,man,True,1,-0.23100193644403422,-0.4893944114858408
0,3,male,17.0,0,0,8.6625,S,man,True,1,-0.9092152198313899,-0.4715363718880328
0,3,male,1.0,4,1,39.6875,S,child,False,6,-2.114927723631133,0.15274044898181535
1,3,male,9.0,0,2,20.525,S,child,False,3,-1.5120714717312616,-0.23284229332014972
1,1,female,35.0,0,1,55.0,S,woman,False,2,0.4472113469433214,0.46085451246512077
0,3,female,45.0,1,4,27.9,S,woman,False,6,1.200781661818161,-0.08444449947921079
0,1,male,40.0,0,0,25.925,S,man,True,1,0.8239965043807411,-0.12418492562644524
0,3,male,28.0,0,0,56.4958,S,man,True,1,-0.08028787346906631,0.49095260331627694
0,1,male,61.0,0,0,33.5,S,man,True,1,2.406494165617904,0.02823721516611236
0,3,male,4.0,4,1,29.125,Q,child,False,6,-1.8888566291686812,-0.05979537440054633
1,3,female,1.0,1,1,11.1333,S,child,False,3,-2.114927723631133,-0.42181958964773564
0,3,male,21.0,0,0,7.925,S,man,True,1,-0.607787093881454,-0.4863761512721267
0,1,male,56.0,0,0,30.6958,C,man,True,1,2.0297090081804847,-0.028188153442533226
0,3,male,18.0,1,1,7.8542,S,man,False,3,-0.8338581883439059,-0.48780077009299977
0,3,male,25.0,3,1,25.4667,S,man,False,5,-0.3063589679315182,-0.13340671666607948
0,1,female,50.0,0,0,28.7125,C,woman,True,1,1.5775668192555807,-0.06809558998825989
0,2,male,30.0,0,0,13.0,S,man,True,1,0.0704261895059016,-0.38425834737480263
0,3,male,36.0,0,0,0.0,S,man,True,1,0.5225683784308054,-0.6458408992300171
0,3,female,21.5,8,2,69.55,S,woman,False,11,-0.570108578137712,0.7536257531953799
0,2,male,30.0,0,0,15.05,C,man,True,1,0.0704261895059016,-0.34300879112071114
0,3,male,9.0,4,2,31.3875,S,child,False,7,-1.5120714717312616,-0.014269949510359993
1,2,male,1.0,2,1,39.0,S,child,False,4,-2.114927723631133,0.13890675633562613
1,3,female,4.0,0,2,22.025,S,child,False,3,-1.8888566291686812,-0.2026596911830096
0,1,male,40.0,0,0,50.0,S,man,True,1,0.8239965043807411,0.3602458386746537
1,3,female,21.5,1,0,15.5,Q,woman,False,2,-0.570108578137712,-0.33395401047956913
1,1,male,45.0,0,0,26.55,S,man,True,1,1.200781661818161,-0.11160884140263685
0,3,male,40.0,1,1,15.5,Q,man,False,3,0.8239965043807411,-0.33395401047956913
0,3,male,36.0,0,0,7.8958,S,man,True,1,0.5225683784308054,-0.486963705927063
1,2,female,32.0,0,0,13.0,S,woman,True,1,0.22114025248086952,-0.38425834737480263
0,2,male,19.0,0,0,13.0,S,man,True,1,-0.7585011568564219,-0.38425834737480263
1,3,female,19.0,1,0,7.8542,S,woman,False,2,-0.7585011568564219,-0.48780077009299977
1,2,male,3.0,1,1,26.0,S,child,False,3,-1.9642136606561653,-0.12267579551958825
1,1,female,44.0,0,0,27.7208,C,woman,True,1,1.125424630330677,-0.08805031434786109
1,1,female,58.0,0,0,146.5208,C,woman,True,1,2.1804230711554524,2.3024117749136366
0,3,male,25.0,0,0,7.75,Q,man,True,1,-0.3063589679315182,-0.4898974548547931
0,3,male,42.0,0,1,8.4042,S,man,False,2,0.974710567355709,-0.47673381597604836
1,3,female,21.5,0,0,7.75,Q,woman,True,1,-0.570108578137712,-0.4898974548547931
0,2,female,24.0,0,0,13.0,S,woman,True,1,-0.38171599941900214,-0.38425834737480263
0,3,male,28.0,0,0,9.5,S,man,True,1,-0.08028787346906631,-0.4546844190281296
0,3,male,25.0,8,2,69.55,S,man,False,11,-0.3063589679315182,0.7536257531953799
0,3,male,34.0,0,0,6.4958,S,man,True,1,0.3718543154558374,-0.5151341345883939
0,3,male,45.5,0,0,7.225,C,man,True,1,1.2384601775619029,-0.5004613656027921
1,3,male,18.0,0,0,8.05,S,man,True,1,-0.8338581883439059,-0.48386093442736505
0,3,female,2.0,0,1,10.4625,S,child,False,2,-2.0395706921436494,-0.4353172493234647
0,3,male,32.0,1,0,15.85,S,man,False,2,0.22114025248086952,-0.3269114033142364
1,3,male,26.0,0,0,18.7875,C,man,True,1,-0.23100193644403422,-0.26780380746233695
1,3,female,16.0,0,0,7.75,Q,woman,True,1,-0.9845722513188738,-0.4898974548547931
1,1,male,40.0,0,0,31.0,C,man,True,1,0.8239965043807411,-0.022067121729121175
0,3,male,24.0,0,0,7.05,S,man,True,1,-0.38171599941900214,-0.5039826691854584
1,2,female,35.0,0,0,21.0,S,woman,True,1,0.4472113469433214,-0.22328446931005533
0,3,male,22.0,0,0,7.25,S,man,True,1,-0.5324300623939701,-0.4999583222338398
0,2,male,30.0,0,0,13.0,S,man,True,1,0.0704261895059016,-0.38425834737480263
0,3,male,25.0,1,0,7.75,Q,man,False,2,-0.3063589679315182,-0.4898974548547931
1,1,female,31.0,1,0,113.275,C,woman,False,2,0.14578322099338556,1.6334486054930144
1,3,female,27.0,0,0,7.925,S,woman,True,1,-0.15564490495655028,-0.4863761512721267
0,2,male,42.0,1,0,27.0,S,man,False,2,0.974710567355709,-0.10255406076149484
1,1,female,32.0,0,0,76.2917,C,woman,True,1,0.22114025248086952,0.8892804524140184
0,2,male,30.0,0,0,10.5,S,man,True,1,0.0704261895059016,-0.4345626842700362
1,3,male,16.0,0,0,8.05,S,man,True,1,-0.9845722513188738,-0.48386093442736505
0,2,male,27.0,0,0,13.0,S,man,True,1,-0.15564490495655028,-0.38425834737480263
0,3,male,51.0,0,0,8.05,S,man,True,1,1.6529238507430648,-0.48386093442736505
0,3,male,25.0,0,0,7.8958,S,man,True,1,-0.3063589679315182,-0.486963705927063
1,1,male,38.0,1,0,90.0,S,man,False,2,0.6732824414057733,1.1651152289983904
0,3,male,22.0,0,0,9.35,S,man,True,1,-0.5324300623939701,-0.4577026792418436
1,2,male,19.0,0,0,10.5,S,man,True,1,-0.7585011568564219,-0.4345626842700362
0,3,male,20.5,0,0,7.25,S,man,True,1,-0.645465609625196,-0.4999583222338398
0,2,male,18.0,0,0,13.0,S,man,True,1,-0.8338581883439059,-0.38425834737480263
0,3,female,21.5,3,1,25.4667,S,woman,False,5,-0.570108578137712,-0.13340671666607948
1,1,female,35.0,1,0,83.475,S,woman,False,2,0.4472113469433214,1.0338209097018307
0,3,male,29.0,0,0,7.775,S,man,True,1,-0.004930841981582358,-0.4893944114858408
0,2,male,59.0,0,0,13.5,S,man,True,1,2.2557801026429365,-0.3741974799957559
1,3,female,5.0,4,2,31.3875,S,child,False,7,-1.8134995976811974,-0.014269949510359993
0,2,male,24.0,0,0,10.5,S,man,True,1,-0.38171599941900214,-0.4345626842700362
0,3,female,21.5,0,0,7.55,S,woman,True,1,-0.570108578137712,-0.49392180180641176
0,2,male,44.0,1,0,26.0,S,man,False,2,1.125424630330677,-0.12267579551958825
1,2,female,8.0,0,2,26.25,S,child,False,3,-1.5874285032187454,-0.1176453618300649
0,2,male,19.0,0,0,10.5,S,man,True,1,-0.7585011568564219,-0.4345626842700362
0,2,male,33.0,0,0,12.275,S,man,True,1,0.29649728396835345,-0.3988466050744204
0,3,female,21.5,1,0,14.4542,C,woman,False,2,-0.570108578137712,-0.3549973206895832
1,3,female,21.5,1,0,15.5,Q,woman,False,2,-0.570108578137712,-0.33395401047956913
0,2,male,29.0,0,0,10.5,S,man,True,1,-0.004930841981582358,-0.4345626842700362
0,3,male,22.0,0,0,7.125,S,man,True,1,-0.5324300623939701,-0.5024735390786015
0,3,male,30.0,0,0,7.225,C,man,True,1,0.0704261895059016,-0.5004613656027921
0,1,male,44.0,2,0,90.0,Q,man,False,3,1.125424630330677,1.1651152289983904
0,3,female,25.0,0,0,7.775,S,woman,True,1,-0.3063589679315182,-0.4893944114858408
1,2,female,24.0,0,2,14.5,S,woman,False,3,-0.38171599941900214,-0.3540757452376625
1,1,male,37.0,1,1,52.5542,S,man,False,3,0.5979254099182894,0.41164077359377593
0,2,male,54.0,1,0,26.0,S,man,False,2,1.8789949452055166,-0.12267579551958825
0,3,male,25.0,0,0,7.25,S,man,True,1,-0.3063589679315182,-0.4999583222338398
0,3,female,29.0,1,1,10.4625,S,woman,False,3,-0.004930841981582358,-0.4353172493234647
0,1,male,62.0,0,0,26.55,S,man,True,1,2.4818511971053887,-0.11160884140263685
0,3,male,30.0,1,0,16.1,S,man,False,2,0.0704261895059016,-0.321880969624713
0,3,female,41.0,0,2,20.2125,S,woman,False,3,0.8993535358682251,-0.23913033543205392
1,3,female,29.0,0,2,15.2458,C,woman,False,3,-0.004930841981582358,-0.3390689554550765
1,1,female,35.0,0,0,79.2,C,woman,True,1,0.4472113469433214,0.9478004936109815
1,1,female,30.0,0,0,86.5,S,woman,True,1,0.0704261895059016,1.0946891573450634
1,1,female,35.0,0,0,512.3292,C,woman,True,1,0.4472113469433214,9.663111371996175
1,2,female,50.0,0,1,26.0,S,woman,False,2,1.5775668192555807,-0.12267579551958825
0,3,male,25.0,0,0,7.75,Q,man,True,1,-0.3063589679315182,-0.4898974548547931
1,3,male,3.0,4,2,31.3875,S,child,False,7,-1.9642136606561653,-0.014269949510359993
0,1,male,52.0,1,1,79.65,S,man,False,3,1.7282808822305487,0.9568552742521236
0,1,male,40.0,0,0,0.0,S,man,True,1,0.8239965043807411,-0.6458408992300171
0,3,female,21.5,0,0,7.75,Q,woman,True,1,-0.570108578137712,-0.4898974548547931
0,2,male,36.0,0,0,10.5,S,man,True,1,0.5225683784308054,-0.4345626842700362
0,3,male,16.0,4,1,39.6875,S,man,False,6,-0.9845722513188738,0.15274044898181535
1,3,male,25.0,1,0,7.775,S,man,False,2,-0.3063589679315182,-0.4893944114858408
1,1,female,58.0,0,1,153.4625,S,woman,False,2,2.1804230711554524,2.4420908210838936
1,1,female,35.0,0,0,135.6333,S,woman,True,1,0.4472113469433214,2.083336387734894
0,1,male,40.0,0,0,31.0,S,man,True,1,0.8239965043807411,-0.022067121729121175
1,3,male,25.0,0,0,0.0,S,man,True,1,-0.3063589679315182,-0.6458408992300171
1,2,female,41.0,0,1,19.5,S,woman,False,2,0.8993535358682251,-0.25346707144719544
0,1,male,37.0,0,1,29.7,C,man,False,2,0.5979254099182894,-0.04822537691464263
1,3,female,21.5,0,0,7.75,Q,woman,True,1,-0.570108578137712,-0.4898974548547931
1,1,female,63.0,1,0,77.9583,S,woman,False,2,2.5572082285928723,0.9228153355618567
0,3,female,45.0,0,0,7.75,S,woman,True,1,1.200781661818161,-0.4898974548547931
0,2,male,30.0,0,0,0.0,S,man,True,1,0.0704261895059016,-0.6458408992300171
0,3,male,7.0,4,1,29.125,Q,child,False,6,-1.6627855347062295,-0.05979537440054633
1,3,female,35.0,1,1,20.25,S,woman,False,3,0.4472113469433214,-0.2383757703786254
0,3,male,65.0,0,0,7.75,Q,man,True,1,2.7079222915678405,-0.4898974548547931
0,3,male,28.0,0,0,7.8542,S,man,True,1,-0.08028787346906631,-0.48780077009299977
0,3,male,16.0,0,0,9.5,S,man,True,1,-0.9845722513188738,-0.4546844190281296
1,3,male,19.0,0,0,8.05,S,man,True,1,-0.7585011568564219,-0.48386093442736505
0,1,male,40.0,0,0,26.0,S,man,True,1,0.8239965043807411,-0.12267579551958825
0,3,male,33.0,0,0,8.6625,C,man,True,1,0.29649728396835345,-0.4715363718880328
1,3,male,30.0,0,0,9.5,S,man,True,1,0.0704261895059016,-0.4546844190281296
0,3,male,22.0,0,0,7.8958,S,man,True,1,-0.5324300623939701,-0.486963705927063
1,2,male,42.0,0,0,13.0,S,man,True,1,0.974710567355709,-0.38425834737480263
1,3,female,22.0,0,0,7.75,Q,woman,True,1,-0.5324300623939701,-0.4898974548547931
1,1,female,26.0,0,0,78.85,S,woman,True,1,-0.23100193644403422,0.9407578864456486
1,1,female,19.0,1,0,91.0792,C,woman,False,2,-0.7585011568564219,1.1868306051493247
0,2,male,36.0,0,0,12.875,C,man,True,1,0.5225683784308054,-0.3867735642195643
0,3,female,24.0,0,0,8.85,S,woman,True,1,-0.38171599941900214,-0.46776354662089026
0,3,male,24.0,0,0,7.8958,S,man,True,1,-0.38171599941900214,-0.486963705927063
0,1,male,40.0,0,0,27.7208,C,man,True,1,0.8239965043807411,-0.08805031434786109
0,3,male,23.5,0,0,7.2292,C,man,True,1,-0.4193945151627441,-0.5003768543168081
0,1,female,2.0,1,2,151.55,S,child,False,4,-2.0395706921436494,2.40360800335904
1,1,male,40.0,0,0,30.5,S,man,True,1,0.8239965043807411,-0.03212798910816789
1,1,female,50.0,0,1,247.5208,C,woman,False,2,1.5775668192555807,4.334706985481072
1,3,female,21.5,0,0,7.75,Q,woman,True,1,-0.570108578137712,-0.4898974548547931
1,3,male,25.0,2,0,23.25,Q,man,False,3,-0.3063589679315182,-0.17801056610434515
0,3,male,19.0,0,0,0.0,S,man,True,1,-0.7585011568564219,-0.6458408992300171
