survived,pclass,sex,age,sibsp,parch,fare,alone,family_size,age_zscore,fare_zscore,embarked_C,embarked_Q,embarked_S,who_child,who_man,who_woman
0,3,0,25.0,0,0,7.8958,1,1,-0.3063589679315182,-0.486963705927063,False,False,True,False,True,False
0,1,0,40.0,0,0,27.7208,1,1,0.8239965043807411,-0.08805031434786109,True,False,False,False,True,False
1,1,1,35.0,1,0,146.5208,0,2,0.4472113469433214,2.3024117749136366,True,False,False,False,False,True
1,3,1,21.5,0,0,7.75,1,1,-0.570108578137712,-0.4898974548547931,False,True,False,False,False,True
0,2,0,66.0,0,0,10.5,1,1,2.7832793230553246,-0.4345626842700362,False,False,True,False,True,False
0,1,0,28.0,1,0,82.1708,0,2,-0.08028787346906631,1.0075781432303252,True,False,False,False,True,False
0,1,0,42.0,1,0,52.0,0,2,0.974710567355709,0.40048930819084055,False,False,True,False,True,False
1,3,0,25.0,0,0,7.2292,1,1,-0.3063589679315182,-0.5003768543168081,True,False,False,False,True,False
0,3,0,21.0,0,0,8.05,1,1,-0.607787093881454,-0.48386093442736505,False,False,True,False,True,False
0,3,1,18.0,2,0,18.0,0,3,-0.8338581883439059,-0.28364967358433557,False,False,True,False,False,True
1,3,1,14.0,1,0,11.2417,0,2,-1.1352863142938416,-0.41963839359995825,True,False,False,True,False,False
0,3,1,40.0,1,0,9.475,0,2,0.8239965043807411,-0.4551874623970819,False,False,True,False,False,True
0,2,1,27.0,1,0,21.0,0,2,-0.15564490495655028,-0.22328446931005533,False,False,True,False,False,True
0,3,0,25.0,0,0,7.8958,1,1,-0.3063589679315182,-0.486963705927063,True,False,False,False,True,False
1,2,1,3.0,1,2,41.5792,0,4,-1.9642136606561653,0.19080473462370068,True,False,False,True,False,False
1,3,1,19.0,0,0,7.8792,1,1,-0.7585011568564219,-0.48729772672404736,False,True,False,False,False,True
0,3,0,25.0,0,0,8.05,1,1,-0.3063589679315182,-0.48386093442736505,False,False,True,False,True,False
0,3,0,25.0,1,0,15.5,0,2,-0.3063589679315182,-0.33395401047956913,False,True,False,False,True,False
1,3,1,21.5,0,0,7.75,1,1,-0.570108578137712,-0.4898974548547931,False,True,False,False,False,True
0,3,0,25.0,2,0,21.6792,0,3,-0.3063589679315182,-0.20961778706235826,True,False,False,False,True,False
0,3,1,18.0,1,0,17.8,0,2,-0.8338581883439059,-0.28767402053595426,False,False,True,False,False,True
0,3,0,7.0,4,1,39.6875,0,6,-1.6627855347062295,0.15274044898181535,False,False,True,True,False,False
0,3,0,21.0,0,0,7.8,1,1,-0.607787093881454,-0.4888913681168884,False,False,True,False,True,False
1,1,1,49.0,1,0,76.7292,0,2,1.5022097877680969,0.8980837113706843,True,False,False,False,False,True
1,2,1,29.0,1,0,26.0,0,2,-0.004930841981582358,-0.12267579551958825,False,False,True,False,False,True
0,1,0,65.0,0,1,61.9792,0,2,2.7079222915678405,0.6012881236888064,True,False,False,False,True,False
1,1,0,40.0,0,0,35.5,1,1,0.8239965043807411,0.06848068468229919,False,False,True,False,True,False
1,2,1,21.0,0,0,10.5,1,1,-0.607787093881454,-0.4345626842700362,False,False,True,False,False,True
0,3,0,28.5,0,0,7.2292,1,1,-0.042609357725324336,-0.5003768543168081,True,False,False,False,True,False
1,2,1,5.0,1,2,27.75,0,4,-1.8134995976811974,-0.08746275969292477,False,False,True,True,False,False
0,3,0,11.0,5,2,46.9,0,8,-1.3613574087562936,0.2978684609245641,False,False,True,True,False,False
0,3,0,22.0,0,0,7.2292,1,1,-0.5324300623939701,-0.5003768543168081,True,False,False,False,True,False
0,1,0,45.0,1,0,83.475,0,2,1.200781661818161,1.0338209097018307,False,False,True,False,True,False
0,3,0,4.0,3,2,27.9,0,6,-1.8888566291686812,-0.08444449947921079,False,False,True,True,False,False
0,1,0,40.0,0,0,27.7208,1,1,0.8239965043807411,-0.08805031434786109,True,False,False,False,True,False
1,3,0,25.0,1,1,15.2458,0,3,-0.3063589679315182,-0.3390689554550765,True,False,False,False,True,False
1,2,1,29.0,0,0,10.5,1,1,-0.004930841981582358,-0.4345626842700362,False,False,True,False,False,True
0,3,0,19.0,0,0,8.1583,1,1,-0.7585011568564219,-0.4816817505530635,False,False,True,False,True,False
1,3,1,17.0,4,2,7.925,0,7,-0.9092152198313899,-0.4863761512721267,False,False,True,False,False,True
0,3,0,26.0,2,0,8.6625,0,3,-0.23100193644403422,-0.4715363718880328,False,False,True,False,True,False
0,2,0,32.0,0,0,10.5,1,1,0.22114025248086952,-0.4345626842700362,False,False,True,False,True,False
0,3,1,16.0,5,2,46.9,0,8,-0.9845722513188738,0.2978684609245641,False,False,True,False,False,True
0,2,0,21.0,0,0,73.5,1,1,-0.607787093881454,0.8331066054898489,False,False,True,False,True,False
0,3,0,26.0,1,0,14.4542,0,2,-0.23100193644403422,-0.3549973206895832,True,False,False,False,True,False
1,3,0,32.0,0,0,56.4958,1,1,0.22114025248086952,0.49095260331627694,False,False,True,False,True,False
0,3,0,25.0,0,0,7.65,1,1,-0.3063589679315182,-0.4919096283306024,False,False,True,False,True,False
0,3,0,25.0,0,0,7.8958,1,1,-0.3063589679315182,-0.486963705927063,False,False,True,False,True,False
0,3,0,25.0,0,0,8.05,1,1,-0.3063589679315182,-0.48386093442736505,False,False,True,False,True,False
1,2,0,0.83,0,2,29.0,0,3,-2.1277384189840056,-0.06231059124530801,False,False,True,True,False,False
1,3,1,30.0,0,0,12.475,1,1,0.0704261895059016,-0.39482225812280164,False,False,True,False,False,True
0,3,0,22.0,0,0,9.0,1,1,-0.5324300623939701,-0.4647452864071763,False,False,True,False,True,False
1,3,0,29.0,0,0,9.5,1,1,-0.004930841981582358,-0.4546844190281296,False,False,True,False,True,False
1,3,1,21.5,0,0,7.7875,1,1,-0.570108578137712,-0.48914288980136456,False,True,False,False,False,True
0,1,0,28.0,0,0,47.1,1,1,-0.08028787346906631,0.30189280787618283,False,False,True,False,True,False
1,2,1,17.0,0,0,10.5,1,1,-0.9092152198313899,-0.4345626842700362,False,False,True,False,False,True
1,3,1,33.0,3,0,15.85,0,4,0.29649728396835345,-0.3269114033142364,False,False,True,False,False,True
0,3,0,16.0,1,3,34.375,0,5,-0.9845722513188738,0.045843733079444095,False,False,True,False,True,False
0,3,0,25.0,0,0,8.05,1,1,-0.3063589679315182,-0.48386093442736505,False,False,True,False,True,False
1,1,1,23.0,3,2,263.0,0,6,-0.4570730309064861,4.646175342148551,False,False,True,False,False,True
0,3,0,24.0,0,0,8.05,1,1,-0.38171599941900214,-0.48386093442736505,False,False,True,False,True,False
0,3,0,29.0,0,0,8.05,1,1,-0.004930841981582358,-0.48386093442736505,False,False,True,False,True,False
0,3,0,20.0,0,0,7.8542,1,1,-0.683144125368938,-0.48780077009299977,False,False,True,False,True,False
0,1,0,46.0,1,0,61.175,0,2,1.2761386933056449,0.5851062245963475,False,False,True,False,True,False
0,3,0,26.0,1,2,20.575,0,4,-0.23100193644403422,-0.23183620658224505,False,False,True,False,True,False
0,3,0,59.0,0,0,7.25,1,1,2.2557801026429365,-0.4999583222338398,False,False,True,False,True,False
0,3,0,25.0,0,0,8.05,1,1,-0.3063589679315182,-0.48386093442736505,False,False,True,False,True,False
0,1,0,71.0,0,0,34.6542,1,1,3.160064480492744,0.05146172142390384,True,False,False,False,True,False
1,1,0,23.0,0,1,63.3583,0,2,-0.4570730309064861,0.6290380080936929,True,False,False,False,True,False
1,2,1,34.0,0,1,23.0,0,2,0.3718543154558374,-0.18304099979386848,False,False,True,False,False,True
0,2,0,34.0,1,0,26.0,0,2,0.3718543154558374,-0.12267579551958825,False,False,True,False,True,False
0,3,1,28.0,0,0,7.8958,1,1,-0.08028787346906631,-0.486963705927063,False,False,True,False,False,True
0,3,0,25.0,0,0,7.8958,1,1,-0.3063589679315182,-0.486963705927063,False,False,True,False,True,False
0,1,0,21.0,0,1,77.2875,0,2,-0.607787093881454,0.9093176758861277,False,False,True,False,True,False
0,3,0,33.0,0,0,8.6542,1,1,0.29649728396835345,-0.47170338228652503,False,False,True,False,True,False
0,3,0,37.0,2,0,7.925,0,3,0.5979254099182894,-0.4863761512721267,False,False,True,False,True,False
0,3,0,28.0,0,0,7.8958,1,1,-0.08028787346906631,-0.486963705927063,False,False,True,False,True,False
1,3,1,21.0,0,0,7.65,1,1,-0.607787093881454,-0.4919096283306024,False,False,True,False,False,True
1,3,0,25.0,0,0,7.775,1,1,-0.3063589679315182,-0.4893944114858408,False,False,True,False,True,False
0,3,0,38.0,0,0,7.8958,1,1,0.6732824414057733,-0.486963705927063,False,False,True,False,True,False
1,3,1,21.5,1,0,24.15,0,2,-0.570108578137712,-0.1599010048220611,False,True,False,False,False,True
0,1,0,47.0,0,0,52.0,1,1,1.351495724793129,0.40048930819084055,False,False,True,False,True,False
0,3,1,14.5,1,0,14.4542,0,2,-1.0976077985500998,-0.3549973206895832,True,False,False,True,False,False
0,3,0,22.0,0,0,8.05,1,1,-0.5324300623939701,-0.48386093442736505,False,False,True,False,True,False
0,3,1,20.0,1,0,9.825,0,2,-0.683144125368938,-0.44814485523174924,False,False,True,False,False,True
0,3,1,17.0,0,0,14.4583,1,1,-0.9092152198313899,-0.354914821577075,True,False,False,False,False,True
0,3,0,21.0,0,0,7.925,1,1,-0.607787093881454,-0.4863761512721267,False,False,True,False,True,False
0,3,0,70.5,0,0,7.75,1,1,3.122385964749002,-0.4898974548547931,False,True,False,False,True,False
0,2,0,29.0,1,0,21.0,0,2,-0.004930841981582358,-0.22328446931005533,False,False,True,False,True,False
0,1,0,24.0,0,1,247.5208,0,2,-0.38171599941900214,4.334706985481072,True,False,False,False,True,False
0,3,1,2.0,4,2,31.275,0,7,-2.0395706921436494,-0.016533644670645515,False,False,True,True,False,False
0,2,0,21.0,2,0,73.5,0,3,-0.607787093881454,0.8331066054898489,False,False,True,False,True,False
0,3,0,25.0,0,0,8.05,1,1,-0.3063589679315182,-0.48386093442736505,False,False,True,False,True,False
0,2,0,32.5,1,0,30.0708,0,2,0.2588187682246115,-0.04076423766634161,True,False,False,False,True,False
1,2,1,32.5,0,0,13.0,1,1,0.2588187682246115,-0.38425834737480263,False,False,True,False,False,True
0,1,0,54.0,0,1,77.2875,0,2,1.8789949452055166,0.9093176758861277,False,False,True,False,True,False
1,3,0,12.0,1,0,11.2417,0,2,-1.2860003772688096,-0.41963839359995825,True,False,False,True,False,False
0,3,0,25.0,0,0,7.75,1,1,-0.3063589679315182,-0.4898974548547931,False,True,False,False,True,False
1,3,0,24.0,0,0,7.1417,1,1,-0.38171599941900214,-0.5021375061081413,False,False,True,False,True,False
1,3,1,21.5,1,1,22.3583,0,3,-0.570108578137712,-0.19595311698813705,True,False,False,False,False,True
0,3,0,45.0,0,0,6.975,1,1,1.200781661818161,-0.5054917992923155,False,False,True,False,True,False
0,3,0,33.0,0,0,7.8958,1,1,0.29649728396835345,-0.486963705927063,True,False,False,False,True,False
0,3,0,20.0,0,0,7.05,1,1,-0.683144125368938,-0.5039826691854584,False,False,True,False,True,False
0,3,1,47.0,1,0,14.5,0,2,1.351495724793129,-0.3540757452376625,False,False,True,False,False,True
1,2,1,29.0,1,0,26.0,0,2,-0.004930841981582358,-0.12267579551958825,False,False,True,False,False,True
0,2,0,25.0,0,0,13.0,1,1,-0.3063589679315182,-0.38425834737480263,False,False,True,False,True,False
0,2,0,23.0,0,0,15.0458,1,1,-0.4570730309064861,-0.3430933024066951,True,False,False,False,True,False
1,1,1,19.0,0,2,26.2833,0,3,-0.7585011568564219,-0.11697530806262038,False,False,True,False,False,True
0,1,0,37.0,1,0,53.1,0,2,0.5979254099182894,0.4226232164247433,False,False,True,False,True,False
0,3,0,16.0,0,0,9.2167,1,1,-0.9845722513188738,-0.46038490648509744,False,False,True,False,True,False
0,1,0,24.0,0,0,79.2,1,1,-0.38171599941900214,0.9478004936109815,True,False,False,False,True,False
0,3,1,21.5,0,2,15.2458,0,3,-0.570108578137712,-0.3390689554550765,True,False,False,False,False,True
1,3,1,22.0,0,0,7.75,1,1,-0.5324300623939701,-0.4898974548547931,False,False,True,False,False,True
1,3,1,24.0,1,0,15.85,0,2,-0.38171599941900214,-0.3269114033142364,False,False,True,False,False,True
0,3,0,19.0,0,0,6.75,1,1,-0.7585011568564219,-0.5100191896128865,False,True,False,False,True,False
0,2,0,18.0,0,0,11.5,1,1,-0.8338581883439059,-0.41444094951194277,False,False,True,False,True,False
0,2,0,19.0,1,1,36.75,0,3,-0.7585011568564219,0.09363285312991595,False,False,True,False,True,False
1,3,0,27.0,0,0,7.7958,1,1,-0.15564490495655028,-0.4889758794028724,False,False,True,False,True,False
0,3,1,9.0,2,2,34.375,0,5,-1.5120714717312616,0.045843733079444095,False,False,True,True,False,False
0,2,0,36.5,0,2,26.0,0,3,0.5602468941745473,-0.12267579551958825,False,False,True,False,True,False
0,2,0,42.0,0,0,13.0,1,1,0.974710567355709,-0.38425834737480263,False,False,True,False,True,False
0,2,0,51.0,0,0,12.525,1,1,1.6529238507430648,-0.39381617138489705,False,False,True,False,True,False
1,1,1,22.0,1,0,66.6,0,2,-0.5324300623939701,0.6942666356590043,False,False,True,False,False,True
0,3,0,55.5,0,0,8.05,1,1,1.9920304924367425,-0.48386093442736505,False,False,True,False,True,False
0,3,0,40.5,0,2,14.5,0,3,0.8616750201244832,-0.3540757452376625,False,False,True,False,True,False
0,3,0,25.0,0,0,7.3125,1,1,-0.3063589679315182,-0.4987007138114589,False,False,True,False,True,False
0,1,0,51.0,0,1,61.3792,0,2,1.6529238507430648,0.5892150828339502,True,False,False,False,True,False
1,3,1,16.0,0,0,7.7333,1,1,-0.9845722513188738,-0.4902334878252532,False,True,False,False,False,True
0,3,0,30.0,0,0,8.05,1,1,0.0704261895059016,-0.48386093442736505,False,False,True,False,True,False
0,3,0,25.0,0,0,8.6625,1,1,-0.3063589679315182,-0.4715363718880328,False,False,True,False,True,False
0,3,0,25.0,8,2,69.55,0,11,-0.3063589679315182,0.7536257531953799,False,False,True,False,True,False
0,3,0,44.0,0,1,16.1,0,2,1.125424630330677,-0.321880969624713,False,False,True,False,True,False
1,2,1,40.0,0,0,15.75,1,1,0.8239965043807411,-0.32892357679004575,False,False,True,False,False,True
0,3,0,26.0,0,0,7.775,1,1,-0.23100193644403422,-0.4893944114858408,False,False,True,False,True,False
0,3,0,17.0,0,0,8.6625,1,1,-0.9092152198313899,-0.4715363718880328,False,False,True,False,True,False
0,3,0,1.0,4,1,39.6875,0,6,-2.114927723631133,0.15274044898181535,False,False,True,True,False,False
1,3,0,9.0,0,2,20.525,0,3,-1.5120714717312616,-0.23284229332014972,False,False,True,True,False,False
1,1,1,35.0,0,1,55.0,0,2,0.4472113469433214,0.46085451246512077,False,False,True,False,False,True
0,3,1,45.0,1,4,27.9,0,6,1.200781661818161,-0.08444449947921079,False,False,True,False,False,True
0,1,0,40.0,0,0,25.925,1,1,0.8239965043807411,-0.12418492562644524,False,False,True,False,True,False
0,3,0,28.0,0,0,56.4958,1,1,-0.08028787346906631,0.49095260331627694,False,False,True,False,True,False
0,1,0,61.0,0,0,33.5,1,1,2.406494165617904,0.02823721516611236,False,False,True,False,True,False
0,3,0,4.0,4,1,29.125,0,6,-1.8888566291686812,-0.05979537440054633,False,True,False,True,False,False
1,3,1,1.0,1,1,11.1333,0,3,-2.114927723631133,-0.42181958964773564,False,False,True,True,False,False
0,3,0,21.0,0,0,7.925,1,1,-0.607787093881454,-0.4863761512721267,False,False,True,False,True,False
0,1,0,56.0,0,0,30.6958,1,1,2.0297090081804847,-0.028188153442533226,True,False,False,False,True,False
0,3,0,18.0,1,1,7.8542,0,3,-0.8338581883439059,-0.48780077009299977,False,False,True,False,True,False
0,3,0,25.0,3,1,25.4667,0,5,-0.3063589679315182,-0.13340671666607948,False,False,True,False,True,False
0,1,1,50.0,0,0,28.7125,1,1,1.5775668192555807,-0.06809558998825989,True,False,False,False,False,True
0,2,0,30.0,0,0,13.0,1,1,0.0704261895059016,-0.38425834737480263,False,False,True,False,True,False
0,3,0,36.0,0,0,0.0,1,1,0.5225683784308054,-0.6458408992300171,False,False,True,False,True,False
0,3,1,21.5,8,2,69.55,0,11,-0.570108578137712,0.7536257531953799,False,False,True,False,False,True
0,2,0,30.0,0,0,15.05,1,1,0.0704261895059016,-0.34300879112071114,True,False,False,False,True,False
0,3,0,9.0,4,2,31.3875,0,7,-1.5120714717312616,-0.014269949510359993,False,False,True,True,False,False
1,2,0,1.0,2,1,39.0,0,4,-2.114927723631133,0.13890675633562613,False,False,True,True,False,False
1,3,1,4.0,0,2,22.025,0,3,-1.8888566291686812,-0.2026596911830096,False,False,True,True,False,False
0,1,0,40.0,0,0,50.0,1,1,0.8239965043807411,0.3602458386746537,False,False,True,False,True,False
1,3,1,21.5,1,0,15.5,0,2,-0.570108578137712,-0.33395401047956913,False,True,False,False,False,True
1,1,0,45.0,0,0,26.55,1,1,1.200781661818161,-0.11160884140263685,False,False,True,False,True,False
0,3,0,40.0,1,1,15.5,0,3,0.8239965043807411,-0.33395401047956913,False,True,False,False,True,False
0,3,0,36.0,0,0,7.8958,1,1,0.5225683784308054,-0.486963705927063,False,False,True,False,True,False
1,2,1,32.0,0,0,13.0,1,1,0.22114025248086952,-0.38425834737480263,False,False,True,False,False,True
0,2,0,19.0,0,0,13.0,1,1,-0.7585011568564219,-0.38425834737480263,False,False,True,False,True,False
1,3,1,19.0,1,0,7.8542,0,2,-0.7585011568564219,-0.48780077009299977,False,False,True,False,False,True
1,2,0,3.0,1,1,26.0,0,3,-1.9642136606561653,-0.12267579551958825,False,False,True,True,False,False
1,1,1,44.0,0,0,27.7208,1,1,1.125424630330677,-0.08805031434786109,True,False,False,False,False,True
1,1,1,58.0,0,0,146.5208,1,1,2.1804230711554524,2.3024117749136366,True,False,False,False,False,True
0,3,0,25.0,0,0,7.75,1,1,-0.3063589679315182,-0.4898974548547931,False,True,False,False,True,False
0,3,0,42.0,0,1,8.4042,0,2,0.974710567355709,-0.47673381597604836,False,False,True,False,True,False
1,3,1,21.5,0,0,7.75,1,1,-0.570108578137712,-0.4898974548547931,False,True,False,False,False,True
0,2,1,24.0,0,0,13.0,1,1,-0.38171599941900214,-0.38425834737480263,False,False,True,False,False,True
0,3,0,28.0,0,0,9.5,1,1,-0.08028787346906631,-0.4546844190281296,False,False,True,False,True,False
0,3,0,25.0,8,2,69.55,0,11,-0.3063589679315182,0.7536257531953799,False,False,True,False,True,False
0,3,0,34.0,0,0,6.4958,1,1,0.3718543154558374,-0.5151341345883939,False,False,True,False,True,False
0,3,0,45.5,0,0,7.225,1,1,1.2384601775619029,-0.5004613656027921,True,False,False,False,True,False
1,3,0,18.0,0,0,8.05,1,1,-0.8338581883439059,-0.48386093442736505,False,False,True,False,True,False
0,3,1,2.0,0,1,10.4625,0,2,-2.0395706921436494,-0.4353172493234647,False,False,True,True,False,False
0,3,0,32.0,1,0,15.85,0,2,0.22114025248086952,-0.3269114033142364,False,False,True,False,True,False
1,3,0,26.0,0,0,18.7875,1,1,-0.23100193644403422,-0.26780380746233695,True,False,False,False,True,False
1,3,1,16.0,0,0,7.75,1,1,-0.9845722513188738,-0.4898974548547931,False,True,False,False,False,True
1,1,0,40.0,0,0,31.0,1,1,0.8239965043807411,-0.022067121729121175,True,False,False,False,True,False
0,3,0,24.0,0,0,7.05,1,1,-0.38171599941900214,-0.5039826691854584,False,False,True,False,True,False
1,2,1,35.0,0,0,21.0,1,1,0.4472113469433214,-0.22328446931005533,False,False,True,False,False,True
0,3,0,22.0,0,0,7.25,1,1,-0.5324300623939701,-0.4999583222338398,False,False,True,False,True,False
0,2,0,30.0,0,0,13.0,1,1,0.0704261895059016,-0.38425834737480263,False,False,True,False,True,False
0,3,0,25.0,1,0,7.75,0,2,-0.3063589679315182,-0.4898974548547931,False,True,False,False,True,False
1,1,1,31.0,1,0,113.275,0,2,0.14578322099338556,1.6334486054930144,True,False,False,False,False,True
1,3,1,27.0,0,0,7.925,1,1,-0.15564490495655028,-0.4863761512721267,False,False,True,False,False,True
0,2,0,42.0,1,0,27.0,0,2,0.974710567355709,-0.10255406076149484,False,False,True,False,True,False
1,1,1,32.0,0,0,76.2917,1,1,0.22114025248086952,0.8892804524140184,True,False,False,False,False,True
0,2,0,30.0,0,0,10.5,1,1,0.0704261895059016,-0.4345626842700362,False,False,True,False,True,False
1,3,0,16.0,0,0,8.05,1,1,-0.9845722513188738,-0.48386093442736505,False,False,True,False,True,False
0,2,0,27.0,0,0,13.0,1,1,-0.15564490495655028,-0.38425834737480263,False,False,True,False,True,False
0,3,0,51.0,0,0,8.05,1,1,1.6529238507430648,-0.48386093442736505,False,False,True,False,True,False
0,3,0,25.0,0,0,7.8958,1,1,-0.3063589679315182,-0.486963705927063,False,False,True,False,True,False
1,1,0,38.0,1,0,90.0,0,2,0.6732824414057733,1.1651152289983904,False,False,True,False,True,False
0,3,0,22.0,0,0,9.35,1,1,-0.5324300623939701,-0.4577026792418436,False,False,True,False,True,False
1,2,0,19.0,0,0,10.5,1,1,-0.7585011568564219,-0.4345626842700362,False,False,True,False,True,False
0,3,0,20.5,0,0,7.25,1,1,-0.645465609625196,-0.4999583222338398,False,False,True,False,True,False
0,2,0,18.0,0,0,13.0,1,1,-0.8338581883439059,-0.38425834737480263,False,False,True,False,True,False
0,3,1,21.5,3,1,25.4667,0,5,-0.570108578137712,-0.13340671666607948,False,False,True,False,False,True
1,1,1,35.0,1,0,83.475,0,2,0.4472113469433214,1.0338209097018307,False,False,True,False,False,True
0,3,0,29.0,0,0,7.775,1,1,-0.004930841981582358,-0.4893944114858408,False,False,True,False,True,False
0,2,0,59.0,0,0,13.5,1,1,2.2557801026429365,-0.3741974799957559,False,False,True,False,True,False
1,3,1,5.0,4,2,31.3875,0,7,-1.8134995976811974,-0.014269949510359993,False,False,True,True,False,False
0,2,0,24.0,0,0,10.5,1,1,-0.38171599941900214,-0.4345626842700362,False,False,True,False,True,False
0,3,1,21.5,0,0,7.55,1,1,-0.570108578137712,-0.49392180180641176,False,False,True,False,False,True
0,2,0,44.0,1,0,26.0,0,2,1.125424630330677,-0.12267579551958825,False,False,True,False,True,False
1,2,1,8.0,0,2,26.25,0,3,-1.5874285032187454,-0.1176453618300649,False,False,True,True,False,False
0,2,0,19.0,0,0,10.5,1,1,-0.7585011568564219,-0.4345626842700362,False,False,True,False,True,False
0,2,0,33.0,0,0,12.275,1,1,0.29649728396835345,-0.3988466050744204,False,False,True,False,True,False
0,3,1,21.5,1,0,14.4542,0,2,-0.570108578137712,-0.3549973206895832,True,False,False,False,False,True
1,3,1,21.5,1,0,15.5,0,2,-0.570108578137712,-0.33395401047956913,False,True,False,False,False,True
0,2,0,29.0,0,0,10.5,1,1,-0.004930841981582358,-0.4345626842700362,False,False,True,False,True,False
0,3,0,22.0,0,0,7.125,1,1,-0.5324300623939701,-0.5024735390786015,False,False,True,False,True,False
0,3,0,30.0,0,0,7.225,1,1,0.0704261895059016,-0.5004613656027921,True,False,False,False,True,False
0,1,0,44.0,2,0,90.0,0,3,1.125424630330677,1.1651152289983904,False,True,False,False,True,False
0,3,1,25.0,0,0,7.775,1,1,-0.3063589679315182,-0.4893944114858408,False,False,True,False,False,True
1,2,1,24.0,0,2,14.5,0,3,-0.38171599941900214,-0.3540757452376625,False,False,True,False,False,True
1,1,0,37.0,1,1,52.5542,0,3,0.5979254099182894,0.41164077359377593,False,False,True,False,True,False
0,2,0,54.0,1,0,26.0,0,2,1.8789949452055166,-0.12267579551958825,False,False,True,False,True,False
0,3,0,25.0,0,0,7.25,1,1,-0.3063589679315182,-0.4999583222338398,False,False,True,False,True,False
0,3,1,29.0,1,1,10.4625,0,3,-0.004930841981582358,-0.4353172493234647,False,False,True,False,False,True
0,1,0,62.0,0,0,26.55,1,1,2.4818511971053887,-0.11160884140263685,False,False,True,False,True,False
0,3,0,30.0,1,0,16.1,0,2,0.0704261895059016,-0.321880969624713,False,False,True,False,True,False
0,3,1,41.0,0,2,20.2125,0,3,0.8993535358682251,-0.23913033543205392,False,False,True,False,False,True
1,3,1,29.0,0,2,15.2458,0,3,-0.004930841981582358,-0.3390689554550765,True,False,False,False,False,True
1,1,1,35.0,0,0,79.2,1,1,0.4472113469433214,0.9478004936109815,True,False,False,False,False,True
1,1,1,30.0,0,0,86.5,1,1,0.0704261895059016,1.0946891573450634,False,False,True,False,False,True
1,1,1,35.0,0,0,512.3292,1,1,0.4472113469433214,9.663111371996175,True,False,False,False,False,True
